"ID","Imagen","Codidgo","Nombre","Tipo","Categoria","Cantidad","Impuesto","Metodo","Costo","Precio"
"2102","","1136","Sudadero Caballeros negro logo grande blanco talla L","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2101","","1135","Sudadero Caballeros gris logo grande blanco talla L","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2100","","1134","Sudadero Caballeros gris logo grande negro talla L","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2099","","1133","Sudadero Caballeros azul logo grande negro talla L","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2098","","1132","Sudadero Caballeros gris logo grande negro talla M","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2097","","1131","Sudadero Caballeros gris logo grande blanco talla M","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2096","","1130","Sudadero Caballeros negro logo grande blanco talla M","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2095","","1129","Sudadero Caballeros azul logo grande negro talla M","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2094","","1128","Sudadero Caballeros gris logo grande blanco talla S","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2093","","1127","Sudadero Caballeros gris logo grande negro talla S","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2092","","1126","Sudadero Caballeros azul logo grande negro talla S","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2091","","1125","Sudadero Caballeros negro logo grande gris talla S","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2090","","1124","Sudadero Caballeros azul logo pequeño talla L","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2089","","1123","Sudadero Caballeros azul logo pequeño talla M","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2088","","1122","Sudadero Caballeros Negro Logo pequeño talla L","Standard","General","1.00","0","Inclusivo","10.00","300.00"
"2087","","1121","Sudadero Caballeros negro logo pequeño talla M","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2086","","1120","Sudadero Caballeros azul logo pequeño talla S","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2085","","1119","Sudadero Caballeros Negro Logo pequeño talla S","Standard","General","2.00","0","Inclusivo","10.00","300.00"
"2084","","1118","Playera Caballeros manga larga azul talla XL","Standard","General","1.00","0","Inclusivo","10.00","200.00"
"2083","","1117","Playera Caballeros manga larga negro logo gris talla XL","Standard","General","1.00","0","Inclusivo","10.00","200.00"
"2082","","1116","Playera Caballeros manga larga azul talla L","Standard","General","3.00","0","Inclusivo","10.00","200.00"
"2081","","1115","Playera Caballeros manga larga negro logo gris  talla L","Standard","General","3.00","0","Inclusivo","10.00","200.00"
"2080","","1114","Playera Caballeros manga larga azul  talla M","Standard","General","2.00","0","Inclusivo","10.00","200.00"
"2079","","1113","Playera Caballeros manga larga negro logo gris  talla M","Standard","General","3.00","0","Inclusivo","10.00","200.00"
"2078","","1112","Playera Caballeros manga larga negro logo gris talla S","Standard","General","3.00","0","Inclusivo","10.00","200.00"
"2077","","1111","Playera Caballeros manga larga azul  tallaS","Standard","General","3.00","0","Inclusivo","10.00","200.00"
"2076","","4067894669351","IY6652 ADIDAS TRACKSUITS MEN TALLA l","Standard","General","0.00","0","Inclusivo","650.25","850.00"
"2075","","4067894676274","IX1094 ADIDAS TRACK SUITS FEM TALLA L","Standard","General","1.00","0","Inclusivo","624.75","825.00"
"2074","","4067894676304","IX1094 ADIDAS TRACK SUITS FEM TALLA M","Standard","General","1.00","0","Inclusivo","624.75","825.00"
"2073","","4067894676236","IX1094 ADIDAS  TRACK SUITS FEM TALLA S","Standard","General","1.00","0","Inclusivo","624.75","825.00"
"2072","","4067894668781","IX3745 ADIDAS TALLA L","Standard","General","1.00","0","Inclusivo","731.00","890.00"
"2071","","4067894668811","IX3745 ADIDAS TALLA M","Standard","General","1.00","0","Inclusivo","731.00","890.00"
"2070","","4067894672542","IX3745 ADIDAS TALLA S","Standard","General","1.00","0","Inclusivo","731.00","890.00"
"2069","","4067896666280","IY9410 ADIDAS SERENO JUNIOR TALLA M","Standard","General","1.00","0","Inclusivo","569.50","850.00"
"2068","","4067896666303","IY9410 ADIDAS  SERENO JUNIOR TALLA L","Standard","General","1.00","0","Inclusivo","569.50","800.00"
"2067","","4067896549422","IZ4991 ADIDAS ESSENTIALS INFANT TALLA 4T","Standard","General","1.00","0","Inclusivo","284.75","450.00"
"2066","","4067896549576","IZ4991 ADIDAS ESSENTIALS INFANT TALLA 3T","Standard","General","1.00","0","Inclusivo","284.75","450.00"
"2065","","4067896545783","IZ4991 ADIDAS ESSENTIALS INFANT TALLAS 2T","Standard","General","1.00","0","Inclusivo","284.75","450.00"
"2064","","4067896545813","IZ4991 ADIDAS ESSENTIALS INFANT TALLA 18M","Standard","General","1.00","0","Inclusivo","284.75","450.00"
"2063","","4067894676854","IY6652 ADIDAS TRACKSUITS MEN TALLA M","Standard","General","1.00","0","Inclusivo","650.25","850.00"
"2062","","4067894676991","IY6652 ADIDAS TRACKSUITS MEN TALLA S","Standard","General","1.00","0","Inclusivo","650.25","850.00"
"2061","","4067896646961","IV9628 ADIDAS APP DY LK JOG TALLA 4T","Standard","General","1.00","0","Inclusivo","374.00","525.00"
"2060","","4067896646893","IV9628 ADIDAS APP DY LK JOG TALLA 2T","Standard","General","1.00","0","Inclusivo","374.00","525.00"
"2059","","4067896646916","IV9628 ADIDAS APP DY LK JOG TALLA 18M","Standard","General","1.00","0","Inclusivo","374.00","525.00"
"2058","","4066762608515","IJ 6359 ADIDAS SHINY TALLA 2XS","Standard","General","0.00","0","Inclusivo","284.75","550.00"
